user_id,house_id,rating
5,0,3.0
5,1,2.0
5,2,4.5
5,3,0.0
5,4,2.0
5,5,0.0
5,6,2.0
5,7,4.5
5,8,3.5
5,9,2.0
5,10,2.5
5,11,1.5
5,12,3.0
5,13,1.0
5,14,0.5
5,15,2.0
5,16,0.0
5,17,3.5
5,18,3.5
5,19,4.0
5,20,2.5
5,21,2.5
5,22,3.0
5,23,0.0
5,24,2.5
5,25,1.0
5,26,3.5
5,27,3.5
5,28,5.0
5,29,2.0
5,30,1.5
5,31,1.0
5,32,5.0
5,33,0.5
5,34,4.5
5,35,3.0
5,36,0.0
5,37,2.5
5,38,4.0
5,39,2.0
5,40,1.5
5,41,1.5
5,42,4.0
5,43,0.5
5,44,4.5
5,45,4.5
5,46,2.0
5,47,4.0
5,48,2.0
5,49,0.5
5,50,0.0
5,51,1.0
5,52,5.0
5,53,5.0
5,54,1.5
5,55,2.0
5,56,4.0
5,57,5.0
5,58,3.0
5,59,4.5
5,60,1.0
5,61,1.0
5,62,1.5
5,63,1.0
5,64,4.5
5,65,1.0
5,66,0.5
5,67,0.5
5,68,1.5
5,69,3.5
5,70,2.5
5,71,3.5
5,72,3.0
5,73,4.0
5,74,2.5
5,75,1.0
5,76,2.5
5,77,3.5
5,78,1.0
5,79,2.0
5,80,4.5
5,81,4.5
5,82,0.0
5,83,0.0
5,84,0.0
5,85,4.0
5,86,1.5
5,87,1.0
5,88,4.0
5,89,3.0
5,90,0.0
5,91,4.0
5,92,1.5
5,93,2.5
5,94,4.5
5,95,3.0
5,96,1.0
5,97,0.5
5,98,0.0
5,99,0.0
5,100,5.0
5,101,0.0
5,102,3.5
5,103,2.5
5,104,5.0
5,105,2.0
5,106,4.0
5,107,3.5
5,108,1.0
5,109,4.5
5,110,0.5
5,111,1.5
5,112,0.0
5,113,2.0
5,114,1.0
5,115,0.0
5,116,0.5
5,117,3.5
5,118,3.0
5,119,5.0
5,120,5.0
5,121,3.0
5,122,5.0
5,123,1.0
5,124,5.0
5,125,5.0
5,126,4.5
5,127,1.0
5,128,4.0
5,129,5.0
5,130,2.5
5,131,4.0
5,132,4.0
5,133,1.0
5,134,4.5
5,135,4.0
5,136,0.0
5,137,5.0
5,138,3.0
5,139,0.5
5,140,3.0
5,141,2.0
5,142,4.0
5,143,0.0
5,144,5.0
5,145,1.0
5,146,4.5
5,147,3.0
5,148,1.5
5,149,1.5
5,150,2.0
5,151,0.5
5,152,4.5
5,153,0.0
5,154,4.5
5,155,3.5
5,156,3.5
5,157,5.0
5,158,2.5
5,159,0.0
5,160,2.0
5,161,5.0
5,162,3.0
5,163,0.5
5,164,3.5
5,165,2.0
5,166,2.0
5,167,0.0
5,168,4.0
5,169,2.0
5,170,3.5
5,171,1.0
5,172,5.0
5,173,2.0
5,174,2.0
5,175,5.0
5,176,1.0
5,177,5.0
5,178,4.5
5,179,2.0
5,180,0.0
5,181,3.5
5,182,5.0
5,183,2.5
5,184,2.0
5,185,3.0
5,186,0.5
5,187,4.0
5,188,3.5
5,189,3.0
5,190,1.5
5,191,1.0
5,192,5.0
5,193,3.0
5,194,4.0
5,195,2.0
5,196,4.5
5,197,5.0
5,198,2.5
5,199,1.5
5,200,4.0
5,201,1.0
5,202,3.5
5,203,4.5
5,204,0.0
5,205,0.5
5,206,0.5
5,207,0.5
5,208,3.0
5,209,5.0
5,210,2.5
5,211,1.0
5,212,2.0
5,213,4.0
5,214,4.0
5,215,2.0
5,216,2.0
5,217,1.5
5,218,5.0
5,219,4.5
5,220,1.5
5,221,1.0
5,222,1.0
5,223,4.5
